,at_home,corners,fouls,half_time_goals,opp_corners,opp_fouls,opp_half_time_goals,opp_possession,opp_red_cards,opp_shots_on_target,opp_total_shots,opp_yellow_cards,possession,red_cards,shots_on_target,total_shots,winning_at_half_time,won_match,yellow_cards
0,True,7,12,0,0,8,0,29.9,0,2,3,0,70.1,0,4,14,False,False,0
1,False,0,8,0,7,12,0,70.1,0,4,14,0,29.9,0,2,3,False,False,0
2,True,6,12,2,3,11,0,40.2,0,2,4,0,59.8,0,9,11,True,True,0
3,False,3,11,0,6,12,2,59.8,0,9,11,0,40.2,0,2,4,False,False,0
4,True,3,12,0,5,8,0,48.1,0,6,12,2,51.9,0,4,6,False,True,2
5,False,5,8,0,3,12,0,51.9,0,4,6,2,48.1,0,6,12,False,False,2
6,True,5,11,0,3,14,1,50.1,0,8,12,2,49.9,0,11,20,False,False,2
7,False,3,14,1,5,11,0,49.9,0,11,20,2,50.1,0,8,12,True,True,2
8,True,4,9,0,3,14,1,47.4,1,3,6,4,52.6,0,3,9,False,False,2
9,False,3,14,1,4,9,0,52.6,0,3,9,2,47.4,1,3,6,True,False,4
10,True,7,10,1,3,11,0,59.5,1,7,14,4,40.5,0,10,15,True,True,1
11,False,3,11,0,7,10,1,40.5,0,10,15,1,59.5,1,7,14,False,False,4
12,True,6,17,1,4,8,0,65.8,0,6,10,1,34.2,0,4,8,True,True,0
13,False,4,8,0,6,17,1,34.2,0,4,8,0,65.8,0,6,10,False,False,1
14,True,7,4,1,3,6,0,35.9,0,6,9,2,64.1,0,15,20,True,True,1
15,False,3,6,0,7,4,1,64.1,0,15,20,1,35.9,0,6,9,False,False,2
16,True,7,16,0,1,11,2,48.0,0,3,5,2,52.0,0,4,12,False,False,2
17,False,1,11,2,7,16,0,52.0,0,4,12,2,48.0,0,3,5,True,True,2
18,True,6,12,0,8,11,0,69.2,0,7,12,2,30.8,0,7,16,False,True,1
19,False,8,11,0,6,12,0,30.8,0,7,16,1,69.2,0,7,12,False,False,2
20,True,1,11,1,5,14,2,28.4,0,5,7,2,71.6,0,11,23,False,True,0
21,False,5,14,2,1,11,1,71.6,0,11,23,0,28.4,0,5,7,True,False,2
