,at_home,corners,fouls,half_time_goals,opp_corners,opp_fouls,opp_half_time_goals,opp_possession,opp_red_cards,opp_shots_on_target,opp_total_shots,opp_yellow_cards,possession,red_cards,shots_on_target,total_shots,winning_at_half_time,won_match,yellow_cards
0,True,3,10,4,1,6,0,37.0,0,2,8,1,63.0,0,6,14,True,True,0
1,False,1,6,0,3,10,4,63.0,0,6,14,0,37.0,0,2,8,False,False,1
2,True,7,18,1,2,14,0,47.2,0,3,10,2,52.8,0,6,19,True,True,2
3,False,2,14,0,7,18,1,52.8,0,6,19,2,47.2,0,3,10,False,False,2
4,True,9,10,2,2,14,0,42.2,0,2,6,2,57.8,0,7,14,True,True,1
5,False,2,14,0,9,10,2,57.8,0,7,14,1,42.2,0,2,6,False,False,2
6,True,10,10,2,5,8,0,45.7,0,3,9,1,54.3,0,8,17,True,True,0
7,False,5,8,0,10,10,2,54.3,0,8,17,0,45.7,0,3,9,False,False,1
8,True,4,18,0,5,14,1,47.4,0,4,7,3,52.6,0,4,8,False,False,2
9,False,5,14,1,4,18,0,52.6,0,4,8,2,47.4,0,4,7,True,True,3
10,True,9,9,0,2,19,0,41.6,0,3,12,4,58.4,0,7,20,False,False,0
11,False,2,19,0,9,9,0,58.4,0,7,20,0,41.6,0,3,12,False,False,4
12,True,3,7,3,1,10,1,29.6,0,2,5,2,70.4,0,6,15,True,True,2
13,False,1,10,1,3,7,3,70.4,0,6,15,2,29.6,0,2,5,False,False,2
14,True,8,13,1,4,19,2,45.4,0,4,6,3,54.6,1,10,20,False,False,3
15,False,4,19,2,8,13,1,54.6,1,10,20,3,45.4,0,4,6,True,True,3
16,True,3,13,2,3,8,0,29.1,0,4,7,0,70.9,0,9,19,True,True,0
17,False,3,8,0,3,13,2,70.9,0,9,19,0,29.1,0,4,7,False,False,0
18,True,8,14,1,5,19,2,44.2,1,5,13,2,55.8,1,7,21,False,False,1
19,False,5,19,2,8,14,1,55.8,1,7,21,1,44.2,1,5,13,True,True,2
20,True,3,17,2,4,18,0,58.4,0,1,7,3,41.6,1,5,9,True,True,4
21,False,4,18,0,3,17,2,41.6,1,5,9,4,58.4,0,1,7,False,False,3
22,True,2,19,2,3,19,1,42.0,0,2,6,2,58.0,0,6,23,True,True,0
23,False,3,19,1,2,19,2,58.0,0,6,23,0,42.0,0,2,6,False,False,2
24,True,4,16,3,1,18,1,38.2,0,2,6,2,61.8,0,11,21,True,True,1
25,False,1,18,1,4,16,3,61.8,0,11,21,1,38.2,0,2,6,False,False,2
26,True,4,12,1,7,21,2,48.2,0,8,12,4,51.8,0,7,13,False,True,1
27,False,7,21,2,4,12,1,51.8,0,7,13,1,48.2,0,8,12,True,False,4
28,True,8,12,1,4,16,0,38.6,0,0,5,3,61.4,0,7,22,True,True,3
29,False,4,16,0,8,12,1,61.4,0,7,22,3,38.6,0,0,5,False,False,3
30,True,6,18,1,1,15,1,53.4,1,2,6,4,46.6,0,3,11,False,False,1
31,False,1,15,1,6,18,1,46.6,0,3,11,1,53.4,1,2,6,False,False,4
32,True,3,13,1,0,20,0,33.3,0,5,9,4,66.7,1,8,21,True,False,1
33,False,0,20,0,3,13,1,66.7,1,8,21,1,33.3,0,5,9,False,True,4
34,True,4,8,0,3,12,0,29.2,0,3,8,1,70.8,0,6,24,False,True,0
35,False,3,12,0,4,8,0,70.8,0,6,24,0,29.2,0,3,8,False,False,1
36,True,7,14,0,2,13,0,40.4,0,1,7,0,59.6,0,8,32,False,True,0
37,False,2,13,0,7,14,0,59.6,0,8,32,0,40.4,0,1,7,False,False,0
38,True,7,11,2,2,19,1,44.0,0,2,4,4,56.0,0,14,32,True,True,0
39,False,2,19,1,7,11,2,56.0,0,14,32,0,44.0,0,2,4,False,False,4
40,True,10,13,2,0,11,0,40.0,1,2,2,1,60.0,0,13,27,True,True,0
41,False,0,11,0,10,13,2,60.0,0,13,27,0,40.0,1,2,2,False,False,1
42,True,10,11,1,2,15,0,48.0,0,5,10,3,52.0,0,8,18,True,True,1
43,False,2,15,0,10,11,1,52.0,0,8,18,1,48.0,0,5,10,False,False,3
44,True,6,15,2,1,4,1,47.2,0,1,3,0,52.8,0,10,17,True,True,1
45,False,1,4,1,6,15,2,52.8,0,10,17,1,47.2,0,1,3,False,False,0
46,True,2,7,0,3,13,0,63.4,0,5,10,3,36.6,0,4,7,False,False,2
47,False,3,13,0,2,7,0,36.6,0,4,7,2,63.4,0,5,10,False,True,3
48,True,3,18,0,4,25,1,45.0,1,4,7,4,55.0,1,5,13,False,False,1
49,False,4,25,1,3,18,0,55.0,1,5,13,1,45.0,1,4,7,True,True,4
50,True,5,20,1,0,19,2,32.7,0,4,6,3,67.3,0,5,20,False,False,2
51,False,0,19,2,5,20,1,67.3,0,5,20,2,32.7,0,4,6,True,True,3
52,True,5,17,1,1,25,0,49.1,0,1,6,2,50.9,0,4,18,True,False,2
53,False,1,25,0,5,17,1,50.9,0,4,18,2,49.1,0,1,6,False,False,2
54,True,6,17,2,5,18,0,50.7,0,1,7,3,49.3,0,11,21,True,True,1
55,False,5,18,0,6,17,2,49.3,0,11,21,1,50.7,0,1,7,False,False,3
56,True,8,9,0,1,13,0,53.3,0,2,4,2,46.7,0,9,28,False,True,0
57,False,1,13,0,8,9,0,46.7,0,9,28,0,53.3,0,2,4,False,False,2
58,True,8,11,0,3,11,2,43.1,1,3,7,0,56.9,0,7,25,False,False,1
59,False,3,11,2,8,11,0,56.9,0,7,25,1,43.1,1,3,7,True,True,0
60,True,4,17,0,2,24,0,42.4,0,4,8,2,57.6,0,6,18,False,False,2
61,False,2,24,0,4,17,0,57.6,0,6,18,2,42.4,0,4,8,False,False,2
62,True,7,15,0,2,14,1,51.5,0,3,19,1,48.5,0,5,10,False,True,2
63,False,2,14,1,7,15,0,48.5,0,5,10,2,51.5,0,3,19,True,False,1
64,True,12,9,2,2,18,1,49.5,1,2,9,1,50.5,0,11,30,True,True,1
65,False,2,18,1,12,9,2,50.5,0,11,30,1,49.5,1,2,9,False,False,1
66,True,5,16,3,5,23,1,48.6,0,4,12,1,51.4,0,10,16,True,True,0
67,False,5,23,1,5,16,3,51.4,0,10,16,0,48.6,0,4,12,False,False,1
68,True,8,13,0,4,28,1,41.5,0,2,11,2,58.5,0,4,11,False,False,1
69,False,4,28,1,8,13,0,58.5,0,4,11,1,41.5,0,2,11,True,True,2
70,True,3,10,2,5,14,0,38.4,0,3,4,4,61.6,0,6,15,True,True,1
71,False,5,14,0,3,10,2,61.6,0,6,15,1,38.4,0,3,4,False,False,4
72,True,5,11,0,4,10,0,34.2,0,5,10,2,65.8,0,9,25,False,False,2
73,False,4,10,0,5,11,0,65.8,0,9,25,2,34.2,0,5,10,False,False,2
74,True,8,10,0,4,19,1,35.5,0,5,10,4,64.5,0,3,17,False,False,2
75,False,4,19,1,8,10,0,64.5,0,3,17,2,35.5,0,5,10,True,True,4
76,True,14,13,0,1,18,0,47.2,1,3,7,4,52.8,0,4,17,False,False,3
77,False,1,18,0,14,13,0,52.8,0,4,17,3,47.2,1,3,7,False,True,4
78,True,7,7,0,0,11,0,48.1,0,0,1,2,51.9,0,6,22,False,True,3
79,False,0,11,0,7,7,0,51.9,0,6,22,3,48.1,0,0,1,False,False,2
80,True,8,20,1,3,12,0,46.7,0,1,6,4,53.3,0,6,19,True,True,1
81,False,3,12,0,8,20,1,53.3,0,6,19,1,46.7,0,1,6,False,False,4
82,True,4,12,1,5,10,1,63.9,0,4,10,0,36.1,0,6,17,False,False,1
83,False,5,10,1,4,12,1,36.1,0,6,17,1,63.9,0,4,10,False,False,0
84,True,4,12,0,1,11,0,47.9,1,3,8,1,52.1,0,6,15,False,False,0
85,False,1,11,0,4,12,0,52.1,0,6,15,0,47.9,1,3,8,False,True,1
86,True,7,15,0,3,13,1,44.6,0,3,6,1,55.4,0,10,21,False,True,0
87,False,3,13,1,7,15,0,55.4,0,10,21,0,44.6,0,3,6,True,False,1
88,True,9,13,0,5,13,0,35.9,0,0,3,2,64.1,0,13,31,False,True,2
89,False,5,13,0,9,13,0,64.1,0,13,31,2,35.9,0,0,3,False,False,2
90,True,5,14,0,2,8,0,31.1,0,2,7,0,68.9,0,5,10,False,False,2
91,False,2,8,0,5,14,0,68.9,0,5,10,2,31.1,0,2,7,False,False,0
92,True,2,16,0,1,19,1,49.9,0,2,7,3,50.1,0,2,15,False,False,2
93,False,1,19,1,2,16,0,50.1,0,2,15,2,49.9,0,2,7,True,True,3
94,True,5,14,0,3,7,0,42.4,0,0,2,0,57.6,0,8,21,False,True,1
95,False,3,7,0,5,14,0,57.6,0,8,21,1,42.4,0,0,2,False,False,0
96,True,2,22,2,2,12,0,60.4,0,0,11,3,39.6,0,4,12,True,True,3
97,False,2,12,0,2,22,2,39.6,0,4,12,3,60.4,0,0,11,False,False,3
98,True,7,16,1,3,11,0,53.2,0,0,2,3,46.8,0,4,15,True,True,2
99,False,3,11,0,7,16,1,46.8,0,4,15,2,53.2,0,0,2,False,False,3
100,True,9,11,3,1,3,1,33.7,0,4,7,0,66.3,0,8,22,True,True,0
