,at_home,corners,fouls,half_time_goals,opp_corners,opp_fouls,opp_half_time_goals,opp_possession,opp_red_cards,opp_shots_on_target,opp_total_shots,opp_yellow_cards,possession,red_cards,shots_on_target,total_shots,winning_at_half_time,won_match,yellow_cards
0,True,1,16,0,11,10,0,73.0,0,7,28,3,27.0,1,2,3,False,False,3
1,False,11,10,0,1,16,0,27.0,1,2,3,3,73.0,0,7,28,False,True,3
2,True,5,18,1,5,14,0,58.4,1,5,16,2,41.6,0,4,11,True,True,3
3,False,5,14,0,5,18,1,41.6,0,4,11,3,58.4,1,5,16,False,False,2
4,True,5,15,0,5,16,1,34.1,1,6,7,2,65.9,0,1,10,False,False,2
5,False,5,16,1,5,15,0,65.9,0,1,10,2,34.1,1,6,7,True,True,2
6,True,4,16,0,4,9,0,54.1,0,0,10,4,45.9,1,4,11,False,False,4
7,False,4,9,0,4,16,0,45.9,1,4,11,4,54.1,0,0,10,False,False,4
8,True,4,18,0,5,9,1,66.6,0,9,16,3,33.4,0,4,10,False,False,2
9,False,5,9,1,4,18,0,33.4,0,4,10,2,66.6,0,9,16,True,True,3
10,True,8,11,0,1,20,0,37.2,0,1,5,5,62.8,0,4,14,False,True,4
11,False,1,20,0,8,11,0,62.8,0,4,14,4,37.2,0,1,5,False,False,5
12,True,7,14,0,5,17,0,34.2,0,1,4,1,65.8,0,4,17,False,False,4
13,False,5,17,0,7,14,0,65.8,0,4,17,4,34.2,0,1,4,False,False,1
14,True,1,13,1,5,14,0,69.5,0,4,12,5,30.5,1,3,8,True,False,4
15,False,5,14,0,1,13,1,30.5,1,3,8,4,69.5,0,4,12,False,False,5
16,True,5,15,1,9,14,0,62.2,0,3,16,2,37.8,0,2,6,True,False,2
17,False,9,14,0,5,15,1,37.8,0,2,6,2,62.2,0,3,16,False,False,2
18,True,8,19,0,1,12,1,45.4,0,3,7,3,54.6,0,4,16,False,False,2
19,False,1,12,1,8,19,0,54.6,0,4,16,2,45.4,0,3,7,True,True,3
20,True,8,16,1,1,12,0,39.5,2,1,4,2,60.5,0,8,21,True,True,2
21,False,1,12,0,8,16,1,60.5,0,8,21,2,39.5,2,1,4,False,False,2
22,True,4,9,0,0,11,0,49.0,0,1,3,0,51.0,0,0,2,False,False,0
23,False,0,11,0,4,9,0,51.0,0,0,2,0,49.0,0,1,3,False,False,0
24,True,6,5,0,5,23,2,42.9,0,4,10,6,57.1,1,6,12,False,False,1
25,False,5,23,2,6,5,0,57.1,1,6,12,1,42.9,0,4,10,True,True,6
26,True,8,16,0,6,21,0,44.4,0,5,8,4,55.6,0,2,13,False,False,2
27,False,6,21,0,8,16,0,55.6,0,2,13,2,44.4,0,5,8,False,True,4
28,True,4,20,0,3,18,2,49.0,0,5,8,4,51.0,0,1,11,False,False,5
29,False,3,18,2,4,20,0,51.0,0,1,11,5,49.0,0,5,8,True,True,4
30,True,2,13,0,5,21,1,47.1,0,3,14,3,52.9,0,3,10,False,False,1
31,False,5,21,1,2,13,0,52.9,0,3,10,1,47.1,0,3,14,True,False,3
32,True,3,8,1,3,11,1,59.8,0,2,7,3,40.2,0,7,17,False,False,3
33,False,3,11,1,3,8,1,40.2,0,7,17,3,59.8,0,2,7,False,False,3
34,True,2,21,1,7,15,0,66.5,0,6,11,3,33.5,0,1,8,True,True,6
35,False,7,15,0,2,21,1,33.5,0,1,8,6,66.5,0,6,11,False,False,3
36,True,6,7,0,8,8,1,55.6,0,4,11,1,44.4,0,3,18,False,False,2
37,False,8,8,1,6,7,0,44.4,0,3,18,2,55.6,0,4,11,True,True,1
38,True,9,17,0,3,11,2,50.8,0,4,10,2,49.2,0,1,11,False,False,4
39,False,3,11,2,9,17,0,49.2,0,1,11,4,50.8,0,4,10,True,True,2
40,True,2,17,2,9,13,1,60.7,1,7,14,2,39.3,0,4,9,True,True,2
41,False,9,13,1,2,17,2,39.3,0,4,9,2,60.7,1,7,14,False,False,2
42,True,5,12,2,3,16,0,50.2,0,2,9,3,49.8,0,9,20,True,True,3
43,False,3,16,0,5,12,2,49.8,0,9,20,3,50.2,0,2,9,False,False,3
44,True,3,20,0,6,8,1,63.6,0,4,14,2,36.4,0,2,14,False,False,3
45,False,6,8,1,3,20,0,36.4,0,2,14,3,63.6,0,4,14,True,True,2
46,True,6,18,0,3,18,0,45.6,0,6,10,3,54.4,0,4,15,False,False,2
47,False,3,18,0,6,18,0,54.4,0,4,15,2,45.6,0,6,10,False,True,3
48,True,4,24,0,1,13,0,45.0,1,0,4,3,55.0,0,8,13,False,True,7
49,False,1,13,0,4,24,0,55.0,0,8,13,7,45.0,1,0,4,False,False,3
50,True,2,12,1,8,20,0,58.6,0,2,10,3,41.4,1,1,8,True,False,5
51,False,8,20,0,2,12,1,41.4,1,1,8,5,58.6,0,2,10,False,False,3
52,True,6,8,1,12,9,1,68.4,0,6,22,5,31.6,1,2,11,False,False,1
53,False,12,9,1,6,8,1,31.6,1,2,11,1,68.4,0,6,22,False,False,5
54,True,5,14,0,5,10,0,50.5,0,2,9,3,49.5,0,1,9,False,False,1
55,False,5,10,0,5,14,0,49.5,0,1,9,1,50.5,0,2,9,False,False,3
56,True,3,16,3,4,11,0,51.5,1,5,15,5,48.5,0,6,13,True,True,6
57,False,4,11,0,3,16,3,48.5,0,6,13,6,51.5,1,5,15,False,False,5
58,True,4,11,2,3,9,2,63.2,0,6,12,2,36.8,0,5,14,False,True,3
59,False,3,9,2,4,11,2,36.8,0,5,14,3,63.2,0,6,12,False,False,2
60,True,5,12,0,6,10,2,65.9,0,10,12,2,34.1,0,2,8,False,False,5
61,False,6,10,2,5,12,0,34.1,0,2,8,5,65.9,0,10,12,True,True,2
62,True,2,20,0,5,4,0,67.4,0,8,27,0,32.6,0,0,6,False,False,4
63,False,5,4,0,2,20,0,32.6,0,0,6,4,67.4,0,8,27,False,False,0
64,True,5,16,0,6,11,0,59.8,0,3,17,3,40.2,0,8,16,False,False,3
65,False,6,11,0,5,16,0,40.2,0,8,16,3,59.8,0,3,17,False,True,3
66,True,10,11,1,4,9,0,43.8,0,5,13,1,56.2,0,10,19,True,False,1
67,False,4,9,0,10,11,1,56.2,0,10,19,1,43.8,0,5,13,False,True,1
68,True,6,10,1,1,13,2,32.6,2,7,14,4,67.4,0,6,16,False,False,3
69,False,1,13,2,6,10,1,67.4,0,6,16,3,32.6,2,7,14,True,False,4
70,True,7,11,1,5,8,0,63.9,0,5,13,3,36.1,0,6,8,True,True,1
71,False,5,8,0,7,11,1,36.1,0,6,8,1,63.9,0,5,13,False,False,3
72,True,5,15,0,3,15,3,48.7,0,6,13,5,51.3,0,2,13,False,False,4
73,False,3,15,3,5,15,0,51.3,0,2,13,4,48.7,0,6,13,True,True,5
74,True,8,9,1,4,10,1,67.0,1,7,12,1,33.0,0,9,21,False,True,2
75,False,4,10,1,8,9,1,33.0,0,9,21,2,67.0,1,7,12,False,False,1
76,True,4,13,1,2,14,0,54.0,0,2,11,3,46.0,0,4,17,True,False,3
77,False,2,14,0,4,13,1,46.0,0,4,17,3,54.0,0,2,11,False,True,3
78,True,6,13,3,2,12,1,57.4,0,3,9,2,42.6,0,7,11,True,True,2
79,False,2,12,1,6,13,3,42.6,0,7,11,2,57.4,0,3,9,False,False,2
80,True,4,10,1,3,13,1,55.1,0,4,5,2,44.9,0,2,11,False,False,2
81,False,3,13,1,4,10,1,44.9,0,2,11,2,55.1,0,4,5,False,False,2
82,True,3,14,2,7,12,1,62.1,0,4,15,4,37.9,0,5,11,True,False,3
83,False,7,12,1,3,14,2,37.9,0,5,11,3,62.1,0,4,15,False,False,4
84,True,1,11,1,4,7,2,77.6,0,8,17,1,22.4,0,2,6,False,False,2
85,False,4,7,2,1,11,1,22.4,0,2,6,2,77.6,0,8,17,True,True,1
86,True,5,14,1,2,14,1,45.8,0,7,12,2,54.2,1,5,13,False,False,5
87,False,2,14,1,5,14,1,54.2,1,5,13,5,45.8,0,7,12,False,True,2
88,True,3,17,0,0,14,1,54.3,1,6,10,1,45.7,0,1,5,False,False,1
89,False,0,14,1,3,17,0,45.7,0,1,5,1,54.3,1,6,10,True,True,1
90,True,7,14,0,2,11,1,38.4,0,1,4,2,61.6,0,3,12,False,True,5
91,False,2,11,1,7,14,0,61.6,0,3,12,5,38.4,0,1,4,True,False,2
92,True,7,8,0,7,11,0,58.9,0,5,17,5,41.1,0,2,9,False,False,2
93,False,7,11,0,7,8,0,41.1,0,2,9,2,58.9,0,5,17,False,True,5
94,True,5,7,1,7,15,1,52.8,0,8,18,1,47.2,0,2,14,False,True,2
95,False,7,15,1,5,7,1,47.2,0,2,14,2,52.8,0,8,18,False,False,1
96,True,1,16,1,5,17,0,55.2,0,6,12,2,44.8,0,3,3,True,True,2
97,False,5,17,0,1,16,1,44.8,0,3,3,2,55.2,0,6,12,False,False,2
98,True,4,9,1,1,6,0,47.8,0,5,10,2,52.2,0,7,16,True,True,1
99,False,1,6,0,4,9,1,52.2,0,7,16,1,47.8,0,5,10,False,False,2
100,True,2,16,3,10,10,1,52.9,0,8,13,2,47.1,1,5,13,True,False,5
101,False,10,10,1,2,16,3,47.1,1,5,13,5,52.9,0,8,13,False,False,2
102,True,8,17,1,11,15,1,54.1,0,4,15,2,45.9,0,4,15,False,True,3
103,False,11,15,1,8,17,1,45.9,0,4,15,3,54.1,0,4,15,False,False,2
104,True,3,20,1,8,11,0,52.2,0,7,17,2,47.8,1,4,13,True,True,2
105,False,8,11,0,3,20,1,47.8,1,4,13,2,52.2,0,7,17,False,False,2
106,True,11,12,1,5,10,2,45.0,1,3,7,2,55.0,0,12,27,False,True,3
107,False,5,10,2,11,12,1,55.0,0,12,27,3,45.0,1,3,7,True,False,2
108,True,1,18,1,10,13,0,50.8,0,2,13,4,49.2,1,2,6,True,True,3
109,False,10,13,0,1,18,1,49.2,1,2,6,3,50.8,0,2,13,False,False,4
110,True,5,30,1,3,18,1,52.8,2,5,11,7,47.2,0,6,10,False,True,7
111,False,3,18,1,5,30,1,47.2,0,6,10,7,52.8,2,5,11,False,False,7
112,True,5,17,1,8,11,1,59.8,0,11,17,2,40.2,1,5,10,False,False,2
113,False,8,11,1,5,17,1,40.2,1,5,10,2,59.8,0,11,17,False,True,2
114,True,4,17,0,4,18,0,44.4,0,2,8,5,55.6,0,2,8,False,False,2
115,False,4,18,0,4,17,0,55.6,0,2,8,2,44.4,0,2,8,False,True,5
116,True,8,12,3,7,17,1,47.8,0,6,16,4,52.2,0,8,20,True,True,3
117,False,7,17,1,8,12,3,52.2,0,8,20,3,47.8,0,6,16,False,False,4
