,at_home,corners,fouls,half_time_goals,opp_corners,opp_fouls,opp_half_time_goals,opp_possession,opp_red_cards,opp_shots_on_target,opp_total_shots,opp_yellow_cards,possession,red_cards,shots_on_target,total_shots,winning_at_half_time,won_match,yellow_cards
0,True,7,7,0,4,9,0,47.2,1,3,7,2,52.8,0,2,10,False,False,3
1,False,4,9,0,7,7,0,52.8,0,2,10,3,47.2,1,3,7,False,False,2
2,True,7,14,0,2,16,0,36.9,0,1,11,2,63.1,0,5,12,False,True,1
3,False,2,16,0,7,14,0,63.1,0,5,12,1,36.9,0,1,11,False,False,2
4,True,4,17,0,3,22,0,37.2,1,0,9,2,62.8,1,5,12,False,False,2
5,False,3,22,0,4,17,0,62.8,1,5,12,2,37.2,1,0,9,False,False,2
6,True,4,14,0,4,20,0,55.3,0,6,11,2,44.7,0,5,8,False,False,2
7,False,4,20,0,4,14,0,44.7,0,5,8,2,55.3,0,6,11,False,True,2
8,True,3,9,0,3,15,1,40.7,0,5,8,0,59.3,0,4,18,False,False,2
9,False,3,15,1,3,9,0,59.3,0,4,18,2,40.7,0,5,8,True,True,0
10,True,3,7,0,1,9,0,61.3,0,2,7,0,38.7,0,2,12,False,False,0
11,False,1,9,0,3,7,0,38.7,0,2,12,0,61.3,0,2,7,False,False,0
12,True,6,18,1,10,8,0,54.9,0,4,17,0,45.1,0,3,11,True,True,3
13,False,10,8,0,6,18,1,45.1,0,3,11,3,54.9,0,4,17,False,False,0
14,True,6,13,2,3,11,2,45.9,0,7,13,1,54.1,0,5,12,False,False,2
15,False,3,11,2,6,13,2,54.1,0,5,12,2,45.9,0,7,13,False,True,1
16,True,5,21,1,5,19,0,53.4,1,5,7,3,46.6,0,6,12,True,False,2
17,False,5,19,0,5,21,1,46.6,0,6,12,2,53.4,1,5,7,False,False,3
18,True,3,25,0,8,17,0,63.8,1,4,17,2,36.2,0,4,5,False,True,3
19,False,8,17,0,3,25,0,36.2,0,4,5,3,63.8,1,4,17,False,False,2
20,True,3,17,1,9,9,0,60.6,0,6,17,0,39.4,0,2,7,True,True,2
21,False,9,9,0,3,17,1,39.4,0,2,7,2,60.6,0,6,17,False,False,0
22,True,9,15,0,3,11,1,45.9,1,5,7,1,54.1,0,5,15,False,False,0
23,False,3,11,1,9,15,0,54.1,0,5,15,0,45.9,1,5,7,True,True,1
