,at_home,corners,fouls,half_time_goals,opp_corners,opp_fouls,opp_half_time_goals,opp_possession,opp_red_cards,opp_shots_on_target,opp_total_shots,opp_yellow_cards,possession,red_cards,shots_on_target,total_shots,winning_at_half_time,won_match,yellow_cards
0,True,6,12,2,3,11,0,40.2,0,2,4,0,59.8,0,9,11,True,True,0
1,False,3,11,0,6,12,2,59.8,0,9,11,0,40.2,0,2,4,False,False,0
2,True,5,6,2,4,10,0,37.0,1,8,10,0,63.0,0,14,23,True,True,0
3,False,4,10,0,5,6,2,63.0,0,14,23,0,37.0,1,8,10,False,False,0
4,True,2,7,1,4,12,1,71.1,0,12,21,1,28.9,0,3,7,False,False,0
5,False,4,12,1,2,7,1,28.9,0,3,7,0,71.1,0,12,21,False,True,1
6,True,6,7,0,4,11,0,49.3,0,4,9,2,50.7,0,8,17,False,True,1
7,False,4,11,0,6,7,0,50.7,0,8,17,1,49.3,0,4,9,False,False,2
8,True,5,16,1,9,9,0,59.1,0,15,26,1,40.9,0,5,8,True,False,3
9,False,9,9,0,5,16,1,40.9,0,5,8,3,59.1,0,15,26,False,False,1
10,True,4,9,0,4,13,0,50.7,0,9,12,3,49.3,1,13,18,False,False,1
11,False,4,13,0,4,9,0,49.3,1,13,18,1,50.7,0,9,12,False,True,3
12,True,2,10,0,1,8,0,54.2,0,6,10,2,45.8,0,2,8,False,False,0
13,False,1,8,0,2,10,0,45.8,0,2,8,0,54.2,0,6,10,False,True,2
14,True,5,13,1,4,11,0,54.7,0,13,20,0,45.3,0,7,16,True,True,0
15,False,4,11,0,5,13,1,45.3,0,7,16,0,54.7,0,13,20,False,False,0
16,True,3,14,1,5,12,0,49.4,0,3,7,0,50.6,0,2,10,True,False,3
17,False,5,12,0,3,14,1,50.6,0,2,10,3,49.4,0,3,7,False,False,0
18,True,9,14,0,8,12,1,40.6,0,9,10,1,59.4,0,13,22,False,False,2
19,False,8,12,1,9,14,0,59.4,0,13,22,2,40.6,0,9,10,True,True,1
20,True,6,8,1,8,15,0,50.8,0,6,15,1,49.2,0,5,14,True,False,0
21,False,8,15,0,6,8,1,49.2,0,5,14,0,50.8,0,6,15,False,False,1
22,True,2,8,1,8,9,0,56.0,0,4,8,0,44.0,0,6,13,True,True,2
23,False,8,9,0,2,8,1,44.0,0,6,13,2,56.0,0,4,8,False,False,0
24,True,5,8,0,8,15,0,55.2,0,8,13,1,44.8,0,8,15,False,False,1
25,False,8,15,0,5,8,0,44.8,0,8,15,1,55.2,0,8,13,False,True,1
26,True,9,4,1,4,9,0,39.3,0,2,7,3,60.7,0,9,20,True,True,1
27,False,4,9,0,9,4,1,60.7,0,9,20,1,39.3,0,2,7,False,False,3
