,at_home,corners,fouls,half_time_goals,opp_corners,opp_fouls,opp_half_time_goals,opp_possession,opp_red_cards,opp_shots_on_target,opp_total_shots,opp_yellow_cards,possession,red_cards,shots_on_target,total_shots,winning_at_half_time,won_match,yellow_cards
0,True,5,14,0,3,22,0,40.6,0,3,4,5,59.4,0,3,11,False,True,2
1,False,3,22,0,5,14,0,59.4,0,3,11,2,40.6,0,3,4,False,False,5
2,True,9,16,0,1,9,0,44.1,0,2,6,3,55.9,0,7,24,False,True,1
3,False,1,9,0,9,16,0,55.9,0,7,24,1,44.1,0,2,6,False,False,3
4,True,10,15,1,1,17,0,45.6,0,1,6,4,54.4,0,9,22,True,True,1
5,False,1,17,0,10,15,1,54.4,0,9,22,1,45.6,0,1,6,False,False,4
6,True,3,18,1,7,18,0,46.2,0,2,11,1,53.8,0,6,13,True,True,1
7,False,7,18,0,3,18,1,53.8,0,6,13,1,46.2,0,2,11,False,False,1
8,True,7,12,2,3,14,0,37.0,1,3,9,2,63.0,0,7,22,True,True,3
9,False,3,14,0,7,12,2,63.0,0,7,22,3,37.0,1,3,9,False,False,2
10,True,6,16,1,5,15,0,39.4,0,3,9,1,60.6,0,4,12,True,True,1
11,False,5,15,0,6,16,1,60.6,0,4,12,1,39.4,0,3,9,False,False,1
12,True,4,19,1,6,11,1,47.4,0,3,11,5,52.6,1,5,14,False,False,2
13,False,6,11,1,4,19,1,52.6,1,5,14,2,47.4,0,3,11,False,False,5
14,True,13,9,1,2,23,1,31.6,0,3,7,5,68.4,0,13,38,False,True,3
15,False,2,23,1,13,9,1,68.4,0,13,38,3,31.6,0,3,7,False,False,5
16,True,14,10,0,3,15,0,42.2,0,3,8,0,57.8,0,7,21,False,True,4
17,False,3,15,0,14,10,0,57.8,0,7,21,4,42.2,0,3,8,False,False,0
18,True,4,16,0,8,14,0,45.5,1,8,17,3,54.5,1,4,14,False,False,3
19,False,8,14,0,4,16,0,54.5,1,4,14,3,45.5,1,8,17,False,False,3
20,True,3,25,2,5,13,1,44.2,0,2,10,1,55.8,0,8,17,True,True,1
21,False,5,13,1,3,25,2,55.8,0,8,17,1,44.2,0,2,10,False,False,1
